ProductName,Brand,Description,Weight,Mrp,Discount,Qty,Gst,Image1,Image2,Image3,Image4
Old Spice Lather Shaving Cream Original,P&G,"Good Lubricating quality in Old Spice Lather Shaving Cream gives superior gliding action-a closer, more comfortable shave. Richer, longer - lasting lather holds up throughout your shave. Use Old Spice Lather Shaving Cream where you find the masculine freshness of old spice",70 gm,60,2,2,18,a1.jpg,a2.jpg,a3.jpg,a4.jpg
Old Spice Lather Shaving Cream Fresh Lime,P&G,"Good Lubricating quality in Old Spice Lather Shaving Cream gives superior gliding action-a closer, more comfortable shave. Richer, longer - lasting lather holds up throughout your shave. Use Old Spice Lather Shaving Cream where you find the masculine freshness of old spice",70 gm,60,2,2,18,,,,
Old Spice Lather Shaving Cream Musk,P&G,"Good Lubricating quality in Old Spice Lather Shaving Cream gives superior gliding action-a closer, more comfortable shave. Richer, longer - lasting lather holds up throughout your shave. Use Old Spice Lather Shaving Cream where you find the masculine freshness of old spice",70 gm,60,2,2,18,,,,
Old Spice Lather Shaving Lotion Atomizer Original,P&G,"Refreshes your skin after hard work with shaving, You'll smell clean, rugged and triumphant, Old Spice After Shave Lotion Splash helps heal tiny razor cuts and nicks",150 ml,235,2,2,18,,,,
Old Spice Lather Shaving Lotion Atomizer Fresh Lime,P&G,"Refreshes your skin after hard work with shaving, You'll smell clean, rugged and triumphant, Old Spice After Shave Lotion Splash helps heal tiny razor cuts and nicks",151 ml,235,2,2,18,,,,
Old Spice Lather Shaving Lotion Atomizer Musk,P&G,"Refreshes your skin after hard work with shaving, You'll smell clean, rugged and triumphant, Old Spice After Shave Lotion Splash helps heal tiny razor cuts and nicks",152 ml,235,2,2,18,,,,
Gillette Vector Shaving Razor,P&G,"Automatically adjusting Pivoting Head, Comfort Strip with lubricants and aloe for a comfortable shave, Twin Blade System for a Clean Shave",1 N,60,2,2,18,,,,
Gillette Vector Shaving Blade,P&G,"Gives a close shave, Prevents cuts, nicks and missed spots, Comfort strip with aloe and vitamin E",6 N,150,2,2,18,,,,
Gillette Mach 3 Shaving Blade,P&G,"Gillette Mach3 gives a better shave than a new 2-bladed ordinary razor even after 5 weeks, 3 high definition imported blades for superior glide and comfort, Comfort Guard with 5 Microfins for a closer shave,Indicator Lubrication Strip fades to white when you are no longer getting an optimal shave and ergonomic handle gives great control",4 N,475,2,2,18,,,,
Gillette Mach 3 Start Shaving Blade,P&G,"Gillette Mach3 Start gives a better shave than a new 2-bladed ordinary razor even after 5 weeks, 3 high definition imported blades for superior glide and comfort, Comfort Guard with 5 Microfins for a closer shave,Indicator Lubrication Strip fades to white when you are no longer getting an optimal shave and ergonomic handle gives great control",2 N,220,2,2,18,,,,
Gilltette Wilkinson Sword Shaving Blade,P&G,"Wilkinson Sword Blades have Triple coating to resist corrosion, for added durability, and for less irritation. Blades maintain their edges even longer than stainless steel blades. Use with a double-edge handle.",5 N,14,0,2,18,,,,
Garnier Men AcnoFight Gel S.O.S. Pimple Clearing Pen,Garnier,"Pimples start drying out & appeared reduced in 2 hours, Redness is calmed, Cooling sensation, Absorbs quickly without any residue",10 ml,149,0,2,18,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
